UFR,Filière,Sexe,Niveau,Fréquence d'utilisation,Durée par session (min),Impact sur la motivation,Moyenne actuelle,Moyenne avant l'accès,Moyenne après l'accès,Temps d'étude/semaine (h),Usage de la connexion,Statut de réussite
SEG,HA,Feminin,L3,Occasionnelle,179,Augmenté,7.131485546108433,10.1862775393056,16.147228439894814,7,Réseaux sociax,1
ST,SVT,Feminin,L2,Quotidienne,145,Diminué,3.547731175612114,12.618551705653298,16.408860650379964,11,Réseaux sociax,1
LSH,HA,Masculin,L2,Quotidienne,10,Augmenté,15.392803378373404,4.821350780511035,12.65735501461803,8,Autres,1
SEG,MPCI,Masculin,L2,Occasionnelle,245,Augmenté,11.010319298828954,5.627384487315795,7.837538545500427,21,Réseaux sociax,1
SEG,MPCI,Masculin,L2,Occasionnelle,36,Augmenté,9.919945240732044,5.524963358584108,4.105976369422722,30,Autres,0
ST,Geographie,Masculin,L3,Occasionnelle,248,Augmenté,12.607257866570748,8.903714980471637,11.882122061663187,20,Autres,0
LSH,SVT,Feminin,L1,Quotidienne,163,Diminué,8.835368616222157,12.313512645668338,4.265952009946803,6,Réseaux sociax,0
SEG,LM,Masculin,L2,Quotidienne,279,Inchangé,7.751072665306757,15.662349417448437,6.9243322449937885,30,Recherche,1
SEG,Geographie,Masculin,L3,Hebdomadaire,7,Augmenté,10.49839008549521,4.965192023332484,14.044221017468217,20,Réseaux sociax,0
SEG,HA,Masculin,L2,Hebdomadaire,167,Augmenté,9.270726617104287,11.23526196491802,10.267789978179497,10,Recherche,1
SEG,HA,Feminin,L3,Hebdomadaire,194,Diminué,4.89047973221402,7.917640586568599,13.83887944743163,15,Autres,0
ST,Geographie,Masculin,L2,Hebdomadaire,203,Diminué,4.300156448341113,16.285777701829318,14.330372512010694,30,Réseaux sociax,1
LSH,Geographie,Masculin,L1,Hebdomadaire,295,Augmenté,10.989672484279609,15.991646561351395,7.601303332036771,18,Recherche,0
ST,SVT,Feminin,L2,Hebdomadaire,236,Inchangé,6.976903617743325,4.936272842638777,4.743993446408085,9,Réseaux sociax,0
ST,Geographie,Feminin,L3,Occasionnelle,56,Augmenté,11.584135945397177,8.368903512861149,5.729070762338932,9,Réseaux sociax,0
SEG,SEG,Masculin,L1,Hebdomadaire,226,Diminué,12.617637679377804,10.706837265209085,6.219284999822008,18,Réseaux sociax,1
LSH,Philo,Feminin,L2,Occasionnelle,171,Augmenté,9.156551483372413,15.267708452418105,13.875080881253446,7,Réseaux sociax,1
SEG,Geographie,Masculin,L2,Hebdomadaire,293,Inchangé,11.593777200476621,13.00986585465076,16.653755503346872,25,Réseaux sociax,1
LSH,LM,Masculin,L1,Quotidienne,62,Diminué,14.339820862785492,16.732195396724478,5.076271000199131,15,Recherche,1
SEG,SEG,Masculin,L1,Quotidienne,255,Inchangé,10.536850493018562,7.876063448638615,4.83787327701137,24,Recherche,1
LSH,LM,Feminin,L3,Hebdomadaire,30,Inchangé,16.75276134152191,16.283591788074247,11.924879229476801,18,Recherche,0
